Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-01-10,410.0,413.1,405.32,405.92,5564262,,,,,
2025-01-13,404.27,409.96,403.75,408.5,4558780,,,,,
2025-01-14,407.25,412.75,405.0701,412.71,3577116,,,,,
2025-01-15,421.7,423.97,415.66,417.28,4345781,,,,,
2025-01-16,418.21,428.89,418.0,426.93,4185552,,,,,
2025-01-17,434.345,435.99,425.7,429.99,4012745,,,,,
2025-01-21,433.26,439.98,431.5,436.36,3833294,,,,,
2025-01-22,438.0,439.73,433.43,437.32,3391642,,,,,
2025-01-23,435.88,437.73,432.49,437.28,2716742,,421.865,,,
2025-01-24,437.28,441.8799,434.73,435.38,2631804,,422.81495,,,
2025-01-27,430.23,445.4499,430.12,438.6,5086254,,425.26,,,
2025-01-28,436.27,445.805,431.64,442.84,5376392,,430.7325,,,
2025-01-29,439.92,444.36,438.825,441.68,2997604,,431.90250000000003,,,
2025-01-30,439.67,448.42,439.23,446.0,3290128,,437.06,,,
2025-01-31,446.975,447.0095,435.83,437.45,4689083,77.54478297794833,439.27,,,
2025-02-03,437.8,442.74,430.88,438.6,3348717,78.10406868223623,439.27,,,
2025-02-04,435.43,443.58,434.26,440.23,2647701,78.90602255073601,439.27,,,
2025-02-05,440.75,444.95,436.27,437.63,2938540,74.23547413733203,439.27,,,
2025-02-06,437.63,439.96,434.35,435.4,2568120,70.38718645949854,439.27,,,
2025-02-07,436.24,441.0,432.41,433.07,2693470,66.50778884758313,439.65,,,
2025-02-10,439.25,453.37,439.0,451.1,3946729,77.04910441299324,442.125,,,
2025-02-11,449.0,461.549,448.29,458.82,3256999,79.95782556249199,446.2145,,,
2025-02-12,458.0,463.0,451.3,462.76,3308534,81.2629931273938,446.94,,,
2025-02-13,465.21,465.6999,457.03,459.22,2794395,76.44608453878273,448.28995,,,
2025-02-14,463.35,464.99,458.0,460.16,2622973,76.83868257575588,449.05495,,,
2025-02-18,462.65,464.33,453.07,464.11,2973775,78.4631851770805,449.05495,434.72495000000004,,
2025-02-19,463.61,463.61,455.32,456.99,2965546,69.06045127295532,449.05495,434.72495000000004,,
2025-02-20,457.44,461.0,451.57,454.69,2337598,66.29661634559216,449.05495,435.385,,
2025-02-21,453.275,453.75,440.69,444.32,3375996,55.50991082997782,452.34995000000004,440.67995,,
2025-02-24,445.11,446.28,440.91,444.42,2807937,55.58495785218093,453.19495,441.84995000000004,,
2025-02-25,443.47,447.49,439.1738,443.41,2612652,54.58348879250154,452.43685000000005,445.69995,,
2025-02-26,443.8,447.65,438.4,441.5,1947626,52.65157261220193,452.04994999999997,447.90995,,
2025-02-27,441.79,444.57,436.82,437.19,2340232,48.48160604095265,450.905,447.90995,,
2025-02-28,438.16,440.37,432.103,438.56,3936914,49.84146555795854,448.2165,447.90995,,
2025-03-03,440.65,448.09,438.21,440.72,2607694,51.99302779174826,447.8565,447.90995,,
2025-03-04,439.25,448.8159,434.7,446.03,2942168,56.888834786212456,446.55150000000003,447.90995,,
2025-03-05,443.65,453.26,443.11,451.24,2406219,61.082491588158774,442.92650000000003,448.28995,,
2025-03-06,444.73,452.19,441.1861,444.78,2732076,54.06046628295606,442.6815,448.28995,,
2025-03-07,442.0,452.51,440.99,449.4,3039466,57.797112281437755,442.6815,448.28995,,
2025-03-10,443.105,444.54,433.23,435.08,4001634,45.455597460442796,442.6815,448.28995,,
2025-03-11,432.88,441.33,431.0,433.66,3145227,44.442181574179,442.13,448.28995,,
2025-03-12,436.69,443.9,435.5,438.6,5515858,48.7249966512078,442.13,448.34995000000004,,
2025-03-13,405.27,405.77,374.5,377.84,14386637,24.10839951482862,413.88,420.09995000000004,,
2025-03-14,379.745,396.36,377.8,394.74,6134775,34.083633327181204,413.88,420.09995000000004,,
2025-03-17,394.115,399.94,387.13,399.34,4258533,36.52908964746263,413.88,420.09995000000004,,
2025-03-18,395.36,395.95,384.57,391.37,4297269,34.16413787856551,413.505,420.09995000000004,,
2025-03-19,394.1,395.26,387.0,387.89,4349931,33.15480251364676,413.505,420.09995000000004,,
2025-03-20,386.895,397.82,385.8025,389.61,4009500,34.18968932352723,409.52,420.09995000000004,,
2025-03-21,384.13,389.85,382.45,387.26,7607266,33.4282070066143,409.2,420.09995000000004,,
2025-03-24,392.47,396.86,391.3801,394.47,5223006,37.991398465227434,409.2,419.745,,
2025-03-25,393.57,404.32,392.99,403.64,3648552,43.31342918276906,390.135,419.41499999999996,,
2025-03-26,403.0,404.5,397.01,397.81,3426315,40.9094380767948,391.15,419.055,441.88995,
2025-03-27,397.44,401.4763,392.51,396.15,2729696,40.22485060943407,393.475,417.75,441.88995,
2025-03-28,393.89,396.92,384.755,385.71,3830307,36.12989478540326,393.475,414.125,442.219975,
2025-03-31,380.0,384.8,374.67,383.53,3960737,35.32129781104149,389.58500000000004,413.88,446.51495,
2025-04-01,381.13,384.0,375.53,383.2,3847766,35.19289853291265,389.58500000000004,413.88,447.52245000000005,
2025-04-02,378.28,388.0,376.54,385.78,2859064,37.117523073862124,389.58500000000004,413.88,449.0684,
2025-04-03,371.875,376.01,366.29,367.25,5324421,30.184173381712142,385.395,409.775,449.97995,
2025-04-04,359.0,361.73,348.8,349.07,5867564,25.208859750552293,376.65,401.03,449.407475,
2025-04-07,335.54,358.36,332.01,340.7,7690909,23.304304464580895,368.255,392.635,448.063225,
2025-04-08,350.1,350.74,333.83,340.0,6650815,23.14680153532045,366.74315,392.635,447.883225,
2025-04-09,338.74,365.72,333.43,364.64,7186274,38.820910046096735,364.46500000000003,392.635,447.230725,
2025-04-10,360.97,362.5,341.52,350.05,5694976,34.35317822193642,360.005,392.26,445.608225,
2025-04-11,351.44,353.1,342.35,352.47,3941817,35.67551614226669,360.005,392.26,445.485725,
2025-04-14,359.51,362.05,348.5,350.91,3285950,35.18351971780305,360.005,388.275,445.485725,
2025-04-15,351.05,356.49,349.185,350.38,3030407,35.006882962376295,354.01,387.955,445.485725,
2025-04-16,345.0,350.38,341.3101,344.19,3687874,32.92765520902313,348.865,387.955,445.209975,
2025-04-17,349.75,351.875,345.09,348.8,5229675,35.977489751394984,348.865,368.89,445.239975,
2025-04-21,344.565,346.68,338.64,343.22,3691241,33.9643494320283,349.57500000000005,368.255,416.989975,
2025-04-22,349.14,352.08,344.3687,349.91,3250424,38.41376954708132,349.57500000000005,368.255,416.989975,
2025-04-23,358.12,363.0,349.8,351.96,3167958,39.75335446911152,350.82,368.255,416.989975,
2025-04-24,353.59,361.12,353.245,360.91,3085149,45.343023448692584,350.82,368.255,416.802475,
2025-04-25,361.695,369.31,359.99,367.72,3499345,49.20477944200295,353.975,368.255,416.802475,
2025-04-28,368.05,370.99,364.58,368.62,3163425,49.710483877500224,354.815,368.255,414.809975,
2025-04-29,367.21,373.88,366.88,370.98,2198291,51.08567836937012,356.26,368.255,414.64997500000004,
