entry_time,exit_time,side,entry_price,exit_price,return
2024-04-19 00:00:00,2024-04-22 00:00:00,short,1.06549,1.0652,0.0002721752433153535
2024-04-22 00:00:00,2024-04-23 00:00:00,short,1.0652,1.07028,-0.004769057453999137
2024-04-25 00:00:00,2024-04-26 00:00:00,short,1.07291,1.07001,0.002702929416260602
2024-04-26 00:00:00,2024-04-29 00:00:00,short,1.07001,1.07211,-0.0019625984803879337
2024-04-29 00:00:00,2024-04-30 00:00:00,short,1.07211,1.06689,0.004868903377451939
2024-04-30 00:00:00,2024-05-01 00:00:00,short,1.06689,1.07124,-0.0040772713213170775
2024-05-01 00:00:00,2024-05-02 00:00:00,short,1.07124,1.07249,-0.0011668720361450724
2024-05-08 00:00:00,2024-05-09 00:00:00,short,1.07491,1.07814,-0.003004902736043036
2024-05-09 00:00:00,2024-05-10 00:00:00,short,1.07814,1.07721,0.000862596694306994
2024-05-23 00:00:00,2024-05-24 00:00:00,short,1.0815,1.0849,-0.0031437817845585414
2024-05-24 00:00:00,2024-05-27 00:00:00,short,1.0849,1.0858,-0.0008295695455804442
2024-05-27 00:00:00,2024-05-28 00:00:00,short,1.0858,1.08584,-3.6839196905447125e-05
2024-06-03 00:00:00,2024-06-04 00:00:00,short,1.09035,1.08802,0.0021369285091942247
2024-07-01 00:00:00,2024-07-02 00:00:00,short,1.07394,1.07456,-0.0005773134439541749
2024-07-02 00:00:00,2024-07-03 00:00:00,short,1.07456,1.07867,-0.0038248213222156213
2024-07-08 00:00:00,2024-07-09 00:00:00,short,1.08265,1.08148,0.001080681660739713
2024-07-09 00:00:00,2024-07-10 00:00:00,short,1.08148,1.08298,-0.001386988201353745
2024-07-16 00:00:00,2024-07-17 00:00:00,short,1.08994,1.09386,-0.003596528249261599
2024-07-17 00:00:00,2024-07-18 00:00:00,short,1.09386,1.08975,0.003757336405024514
2024-07-18 00:00:00,2024-07-19 00:00:00,short,1.08975,1.08795,0.0016517549896765127
2024-08-14 00:00:00,2024-08-15 00:00:00,short,1.1013,1.09735,0.0035866702987377153
