Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-07-14,118614.0,123219.0,118332.0,120035.0,,,,,,
2025-07-15,120035.0,120312.0,115779.0,117548.0,,,,,,
2025-07-16,117553.0,120110.0,117043.0,119345.0,,,,,,
2025-07-17,119345.0,121007.0,117530.0,120334.0,,,,,,
2025-07-18,120334.0,120894.0,117200.0,117437.0,,,,,,
2025-07-21,118033.0,119680.0,116519.0,117274.0,,,,,,
2025-07-22,117274.0,120214.0,116202.0,119435.0,,,,,,
2025-07-23,119435.0,120283.0,117348.0,118120.0,,,,,,
2025-07-24,118189.0,119507.0,117182.0,118598.0,,,119499.0,,,
2025-07-25,118598.0,118639.0,114784.0,116758.0,,,117895.5,,,
2025-07-28,119699.0,119835.0,117451.0,118118.0,,,117895.5,,,
2025-07-29,118125.0,119284.0,116994.0,117598.0,,,117895.5,,,
2025-07-30,117616.0,118792.0,115811.0,117315.0,,,117839.0,,,
2025-07-31,117312.0,118934.0,116217.0,116545.0,,,117533.5,,,
2025-08-01,116525.0,116525.0,113199.0,113290.0,,14.680916726630059,116741.0,,,
2025-08-04,114424.0,115732.0,114066.0,115105.0,,20.839914297166672,116741.0,,,
2025-08-05,115170.0,115362.0,112668.0,113606.0,,19.582599896270693,116251.5,,,
2025-08-06,113576.0,115744.0,113320.0,115083.0,,24.421113812355017,116251.5,,,
2025-08-07,115083.0,117576.0,114293.0,117152.0,,30.710311603413743,116251.5,,,
2025-08-08,117152.0,117672.0,115927.0,116483.0,,29.84549530268734,115976.0,,,
2025-08-11,118701.0,122335.0,118111.0,118724.0,,36.315083661555484,117501.5,,,
2025-08-12,118712.0,120315.0,118219.0,119903.0,,39.47733068090193,117501.5,,,
2025-08-13,119903.0,123036.0,118945.0,122579.0,,46.027986975992995,117852.0,,,
2025-08-14,122625.0,124511.0,117270.0,117979.0,,38.34497361759238,118589.5,,,
2025-08-15,117981.0,119347.0,116850.0,116974.0,,36.89593152972005,118589.5,,,
2025-08-18,117832.0,118078.0,114711.0,116719.0,,36.51883866339674,118915.5,118589.5,,
