run,path,asset,model,model_run,mode,signal_source,portfolio_weighting,m_total_return,m_cagr,m_sharpe,m_max_drawdown,m_n_bars,m_turnover_sum,m_avg_bar_return,m_vol_bar,m_ann_factor,t_n_trades,t_win_rate,t_profit_factor,finance_score,trade_score,reliability_score,principle_flags,n_principle_flags,stress_total_return_bps10,stress_sharpe_bps10,stress_total_return_bps20,stress_sharpe_bps20,stress_total_return_bps35,stress_sharpe_bps35,ml_quality_score,cv_present,n_folds,cv_metric,cv_mean,cv_std,calibration_quality_score,pass_finance,pass_stress,pass_ml,promotion_score,decision
bt_eurusd_sweep_EURUSD=X_rf_stops,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_eurusd_sweep_EURUSD=X_rf_stops,EURUSD=X,rf,,long_short,predict,,0.0015862060242926024,0.02795027706062303,1.9729777612629118,-0.0019068820368913775,15.0,9.0,0.00010604557815336524,0.0008681633913577642,260.89285714285717,4,1.0,inf,0.7387715378306062,0.8266666666666667,0.6895348329232275,too_few_trades,1,-0.007413793975707399,-9.190020992402527,-0.0164137939757074,-20.353019746067968,-0.029913793975707398,-37.09751787656612,0.0,,,,,,,False,False,False,0.3792441581077751,reject
bt_crypto_5y_ETH-USD_hgb_wv_dwt_db6,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_hgb_wv_dwt_db6,ETH-USD,hgb,,long_short,predict,,0.07607417412808681,0.03816467430045134,1.3756338702452873,-0.01910394538561122,716.0,8.116014320926187,0.00010343567324048093,0.0014380238460252274,365.76083916083917,52,0.46153846153846156,1.1823414820884872,0.6534366666907561,0.302245974632127,0.5305199244702359,,0,0.06795815980716063,1.224882142878231,0.05984214548623444,1.0741304155111746,0.04766812400484516,0.84800282446059,0.0,,,,,,,False,True,False,0.3723457396219678,reject
bt_crypto_5y_SOL-USD_hgb_wv_dwt_db4,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_hgb_wv_dwt_db4,SOL-USD,hgb,,long_short,predict,,0.03640683518525045,0.018435359446232313,0.6607554107268027,-0.019417696628338588,716.0,8.31981221794176,5.103215143777047e-05,0.0014770722951950785,365.76083916083917,48,0.5625,2.5189996346016543,0.5059966406152612,0.846875,0.6253040663999198,,0,0.028087022967308695,0.5103036231685866,0.019767210749366933,0.3598518356103703,0.007287492422454293,0.134174154273046,0.0,,,,,,,True,False,False,0.37090612419073365,reject
bt_crypto_5y_SOL-USD_mlp_wv_dwt_db4,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_mlp_wv_dwt_db4,SOL-USD,mlp,,long_short,predict,,0.03934266227106664,0.019908069616513258,0.7130044476342118,-0.019103711807803236,716.0,6.542319163859304,5.4979029681178336e-05,0.0014746991651228432,365.76083916083917,48,0.6041666666666666,1.5981138105409483,0.5184437011578581,0.7389428814100933,0.5956184142461405,,0,0.032800343107207336,0.5945056692949016,0.026258023943348033,0.47600689095559134,0.016444545197559078,0.298258723446626,0.0,,,,,,,False,False,False,0.36329064465704664,reject
bt_crypto_5y_ETH-USD_rf_proba_hmm_wavelet,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_rf_proba_hmm_wavelet,ETH-USD,rf,,long_short,proba,,0.02378774113156701,0.012081833530434016,0.7804142722801483,-0.011437969828238859,716.0,2.7637594220001716,3.316306705062256e-05,0.0008126959366264462,365.76083916083917,20,0.6,1.9986844466360645,0.5342731161309442,0.8452413343195622,0.5631119924969605,too_few_trades,1,0.021023981709566836,0.6895783295006708,0.018260222287566664,0.5987423867211932,0.014114583154566408,0.46248847255197695,0.0,,,,,,,False,True,False,0.3546172748774178,reject
bt_crypto_5y_SOL-USD_rf_proba_hmm_wavelet,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_proba_hmm_wavelet,SOL-USD,rf,,long_short,proba,,0.0558643320884038,0.02815821968103216,0.8449410281644851,-0.0383472962366872,716.0,8.70074401410634,7.74578437787936e-05,0.0017532248066259501,365.76083916083917,68,0.5147058823529411,1.5803965369809412,0.5391774151552141,0.5744137357590705,0.5515101273665639,,0,0.04716358807429746,0.7123835098746215,0.038462844060191126,0.5798259915847578,0.025411728039031613,0.3809897141499622,0.0,,,,,,,False,True,False,0.346817519420467,reject
bt_crypto_5y_ETH-USD_mlp_wv_dwt_db4,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_mlp_wv_dwt_db4,ETH-USD,mlp,,long_short,predict,,0.04213831567299464,0.02130857363040617,0.9263477168197408,-0.017404013732151613,716.0,5.904091966983885,5.837065845688135e-05,0.0012050891035398196,365.76083916083917,42,0.5238095238095238,1.3356735873787124,0.565302367405661,0.4802197809870873,0.5355234621591602,,0,0.03623422370601076,0.7954839145992021,0.03033013173902687,0.6646201123786636,0.021473993788551044,0.46832440904785566,0.0,,,,,,,False,True,False,0.34438441261593794,reject
bt_crypto_5y_ETH-USD_hgb_wv_dwt_db8_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_hgb_wv_dwt_db8_ar5,ETH-USD,hgb,,long_short,predict,,0.06444653431530001,0.032418851469594,1.1508195544620234,-0.026024742031312553,716.0,10.041010812458305,8.830622682862688e-05,0.0014675155046159013,365.76083916083917,58,0.4827586206896552,1.184567996793136,0.608333676257462,0.34038318476380774,0.514551004234683,,0,0.0544055235028417,0.9680599049017233,0.0443645126903834,0.7853002553414234,0.029302996471695937,0.5111607810009733,0.0,,,,,,,False,True,False,0.34190057147968245,reject
bt_multi_stops_invvol,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_multi_stops_invvol,,smoke_ml_multi_alloc_smoke\model.joblib,smoke_ml_multi_alloc_smoke,long_short,predict,inverse_vol,1.6145490111446783,6.185949122964785,5.760268558637895,-0.08240004817675306,179.0,,0.005551669930173835,0.0184194228537813,,0,,,0.9487929327832287,0.0,0.6167154063090987,,0,,,,,,,0.0,,,,,,,True,False,False,0.33919347347000434,reject
bt_multi_invvol_voltarget,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_multi_invvol_voltarget,,smoke_ml_multi_alloc_smoke\model.joblib,smoke_ml_multi_alloc_smoke,long_short,predict,inverse_vol,0.6218888130898108,1.6825547646299772,5.005257509102616,-0.10547500939501031,180.0,,0.0027449423006259484,0.010480980340237924,,0,,,0.9317948991693077,0.0,0.60566668446005,,0,,,,,,,0.0,,,,,,,True,False,False,0.3331166764530275,reject
bt_smoke_multi,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_smoke_multi,,smoke_ml_multi_alloc_smoke\model.joblib,smoke_ml_multi_alloc_smoke,long_short,,,1.353796370994774,4.7358192388697065,5.89660418018364,-0.12232265268195253,180.0,,0.004892038828612868,0.015855612803671558,,0,,,0.9259038909633284,0.0,0.6018375291261635,,0,,,,,,,0.0,,,,,,,True,False,False,0.33101064101938993,reject
bt_btc_open,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_btc_open,BTC-USD,smoke_ml_btc_6mo\model.joblib,smoke_ml_btc_6mo,long_short,predict,,1.4497284987342387,5.222949450476904,5.489116729717518,-0.12869777920849845,180.0,49.0,0.00514926551515627,0.017928251342395507,,0,,,0.9208118026678398,0.0,0.5985276717340959,,0,1.4007284987342388,,1.3517284987342386,,1.2782284987342387,,0.0,,,,,,,False,False,False,0.32919021945375276,reject
bt_btc_proba_longonly,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_btc_proba_longonly,BTC-USD,smoke_ml_btc_6mo\model.joblib,smoke_ml_btc_6mo,long_only,proba,,0.30727522738536517,0.7276161400641794,2.925932037858539,-0.061672084616330225,180.0,36.0,0.0015400862654790977,0.010059489132938432,,0,,,0.908517901036236,0.0,0.5905366356735534,,0,0.27127522738536514,,0.23527522738536516,,0.18127522738536517,,0.0,,,,,,,False,False,False,0.3247951496204544,reject
bt_smoke_btc,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_smoke_btc,BTC-USD,smoke_ml_btc_6mo\model.joblib,smoke_ml_btc_6mo,long_short,,,1.150749155190816,3.7714495505365973,4.71337355121953,-0.14528066849407895,180.0,71.0,0.004423451426604021,0.01793595536723796,,0,,,0.9063583169450241,0.0,0.5891329060142657,,0,1.079749155190816,,1.008749155190816,,0.902249155190816,,0.0,,,,,,,False,False,False,0.32402309830784615,reject
bt_btc_stops,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_btc_stops,BTC-USD,smoke_ml_btc_6mo\model.joblib,smoke_ml_btc_6mo,long_short,predict,,1.2511713525815265,4.286040336574531,4.596926945108187,-0.14386066521221963,179.0,81.0,0.0047348365414712846,0.01968486773279458,,0,,,0.9060991530272839,0.0,0.5889644494677346,,0,1.1701713525815265,,1.0891713525815265,,0.9676713525815264,,0.0,,,,,,,False,False,False,0.32393044720725406,reject
bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker,ETH-USD,rf,,long_short,predict,,0.07873025723380622,0.039472915852887924,0.748162783357484,-0.05971993182492208,716.0,11.16116462895007,0.00010978298787100889,0.0028063223053155575,365.76083916083917,200,0.56,1.2640659301882151,0.5107872234002856,0.5113296685846969,0.5109770792148296,,0,0.06756909260485615,0.6419302480814731,0.05640792797590608,0.5356977128054623,0.03966618103248098,0.3763489098914459,0.0,,,,,,,False,True,False,0.321214722028566,reject
bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_rf_wv_cwt_ricker_ar5,ETH-USD,rf,,long_short,predict,,0.07996375580706339,0.04007993409714827,0.7591117550042977,-0.059719931824921524,716.0,10.723083228897632,0.00011137849498823112,0.0028060424132378583,365.76083916083917,200,0.555,1.248173470931371,0.5134266507017887,0.495428061919117,0.5071271446278536,,0,0.06924067257816575,0.6570387204978082,0.05851758934926812,0.5549656859913189,0.04243296450592167,0.40185613423158484,0.0,,,,,,,False,True,False,0.3205423559946684,reject
bt_btc_trailing,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_btc_trailing,BTC-USD,ml_outputs_btc\model.joblib,ml_outputs_btc,long_short,predict,,0.4604734629482894,1.1753816783733004,2.8879735226058263,-0.09563553517167434,128.0,57.0,0.0031847383182183327,0.021075391861138718,,0,,,0.8910985142131496,0.0,0.5792140342385472,,0,0.4034734629482894,,0.3464734629482894,,0.2609734629482894,,0.0,False,,,,,0.0,False,False,False,0.318567718831201,reject
