Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2026-01-05,137.83,142.97,137.66,142.93,2981500.0,
2026-01-06,142.17,148.555,142.17,147.6,2627715.0,
2026-01-07,147.64,149.39,145.55,147.81,2279107.0,
2026-01-08,146.83,148.735,145.365,145.76,1728989.0,
2026-01-09,147.48,150.03,147.15,148.975,629275.0,
