Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-05-16,133.35,136.15,132.9,135.96,4789901,
2025-05-19,130.355,133.28,129.53,132.05,4195586,
2025-05-20,131.84,132.04,129.7,131.04,3108482,
2025-05-21,128.92,135.34,128.6,130.45,4810123,
2025-05-22,129.6,131.1388,128.9578,129.28,2366176,
2025-05-23,126.14,127.66,124.9,127.18,2966784,
2025-05-27,130.05,135.99,129.73,133.96,5507532,
2025-05-28,134.825,138.5,133.95,135.54,5937438,
2025-05-29,138.5,138.59,126.75,128.1,7438789,
2025-05-30,127.61,127.8,121.56,124.54,5786646,
2025-06-02,124.8,127.48,123.5875,126.055,3297546,
2025-06-03,127.53,130.64,126.93,128.78,3445675,
2025-06-04,129.4,130.6848,127.3301,130.36,2473376,
2025-06-05,131.09,134.25,128.49,129.55,3558230,
2025-06-06,129.93,135.16,129.93,133.11,3212500,
2025-06-09,135.0,141.3198,134.82,138.61,6864643,
2025-06-10,138.8,141.58,135.87,140.63,4544099,
2025-06-11,140.99,144.2999,138.9412,140.38,3594057,
2025-06-12,137.44,140.63,137.21,138.62,3244823,
2025-06-13,135.81,138.52,134.57,135.55,3307735,
2025-06-16,137.25,143.58,137.25,142.04,4166296,
2025-06-17,140.83,149.25,140.5,144.72,5883239,
2025-06-18,145.16,147.98,143.18,146.05,3638366,
2025-06-20,146.705,148.48,143.26,145.04,3798306,
2025-06-23,143.0,149.59,142.6,149.33,4742264,
2025-06-24,151.0,157.23,150.9,156.41,5587282,
2025-06-25,157.11,159.88,156.68,157.31,4750959,
2025-06-26,158.535,160.4,157.245,158.15,4519565,
2025-06-27,159.0,166.36,158.76,165.46,7495465,
2025-06-30,166.965,168.3099,161.2217,161.74,5531639,
2025-07-01,160.0,161.75,153.5172,156.33,6369768,
2025-07-02,154.205,155.24,152.03,154.63,5027678,
2025-07-03,155.86,157.42,154.1601,155.09,2499259,
2025-07-07,154.0,154.0,145.4,146.88,6964769,
2025-07-08,148.93,150.0,147.05,147.79,4150262,
2025-07-09,149.59,152.78,147.8,148.02,3848507,
2025-07-10,149.0,149.0,145.6181,148.55,3652380,
2025-07-11,146.68,151.1,144.28,145.94,3954206,
2025-07-14,145.94,145.96,140.7,144.54,5882783,
2025-07-15,148.375,150.15,146.3501,147.11,4182225,
2025-07-16,151.325,155.04,148.21,153.9,7451580,
2025-07-17,157.11,159.4998,153.5404,157.18,4891514,
2025-07-18,158.5,161.95,156.385,156.74,4869474,
2025-07-21,159.15,164.58,158.1891,161.92,5462802,
2025-07-22,161.0,162.1318,153.24,156.5,5167949,
2025-07-23,156.96,159.7499,155.71416,159.28,3398613,
2025-07-24,160.0,161.75,157.9,159.99,2228382,
2025-07-25,160.0,164.58,159.14,163.17,3151871,
2025-07-28,165.02,166.88,162.0368,164.37,4027941,
2025-07-29,164.0,166.2475,160.78,163.47,3546455,
2025-07-30,162.32,165.25,161.36,163.325,4885275,
2025-07-31,148.35,149.0,139.11,141.375,22624867,
2025-08-01,137.995,140.06,135.25,137.58,7673360,
2025-08-04,140.1,140.6098,138.25,140.05,4866896,
2025-08-05,140.5,140.88,135.21,137.23,4384607,
2025-08-06,137.41,137.8,135.01,136.12,3241026,
2025-08-07,137.77,139.68,134.61,135.57,4269209,
2025-08-08,136.67,139.45,135.36,138.5,3483747,
2025-08-11,139.52,146.43,139.25,141.05,5673358,
2025-08-12,142.85,143.0,140.42,142.39,4004257,
2025-08-13,143.45,145.2,141.39,141.6,3335791,
2025-08-14,140.29,140.68,138.27,140.55,4927774,
2025-08-15,140.55,141.78,137.77,138.91,3434478,
2025-08-18,137.91,141.5102,137.5295,141.06,2892949,
2025-08-19,140.93,142.8,133.7,134.01,4751607,
2025-08-20,132.7,133.13,127.03,131.16,5838744,
2025-08-21,130.89,133.63,130.21,133.28,4107208,
2025-08-22,133.0,140.35,132.68,137.92,4041485,
2025-08-25,138.295,139.0,136.0,137.78,1870929,
2025-08-26,138.34,141.41,137.85,140.26,2515358,
2025-08-27,140.27,141.96,138.83,140.66,2499461,
2025-08-28,140.6,143.7996,139.7574,142.55,2882933,
2025-08-29,140.67,140.78,137.31,138.31,3615984,
2025-09-02,133.62,134.89,130.41,132.34,5833676,
2025-09-03,133.65,134.1,130.71,131.42,3202139,
2025-09-04,131.135,136.115,130.26,135.48,3274910,
2025-09-05,138.0,138.82,135.35,138.17,2822396,
2025-09-08,138.71,141.15,138.14,139.14,2573149,
2025-09-09,139.14,141.7385,139.1,140.8,2083374,
