Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,298.77,302.72,297.32,299.0,1330535,
2025-01-13,298.0,298.355,290.91,292.5,1795053,
2025-01-14,293.55,295.33,289.0,294.19,1260802,
2025-01-15,301.88,304.0,300.345,300.72,1819951,
2025-01-16,303.0,304.06,298.68,298.9,1430756,
2025-01-17,305.87,307.05,302.61,305.6,1567570,
2025-01-21,307.28,311.58,304.39,310.97,1769856,
2025-01-22,313.86,324.6,313.77,321.49,1941980,
2025-01-23,319.0,324.57,318.0,324.52,1442461,
2025-01-24,324.45,325.03,317.56,320.48,1392201,
2025-01-27,305.61,309.92,285.06,289.87,3680656,
2025-01-28,289.46,299.54,285.28,299.3,2262274,
2025-01-29,296.83,298.6,288.365,289.88,1395428,
2025-01-30,292.24,298.28,292.0,297.76,1377565,
2025-01-31,299.6,304.72,297.33,297.62,1297317,
2025-02-03,292.5,299.465,289.83,298.3,1451582,
2025-02-04,295.11,300.28,295.11,299.67,1039336,
2025-02-05,298.0,303.73,295.835,302.65,988521,
2025-02-06,302.55,306.75,300.66,302.91,816446,
2025-02-07,304.01,309.89,297.37,299.68,1411501,
2025-02-10,303.83,305.885,301.22,305.63,1236979,
2025-02-11,301.47,304.11,298.63,303.87,959703,
2025-02-12,296.2,298.09,291.96,294.045,1091841,
2025-02-13,294.0,297.51,293.47,296.16,1792795,
2025-02-14,295.915,296.01,291.96,295.19,2105158,
2025-02-18,297.095,300.86,292.57,300.43,2806749,
2025-02-19,285.22,286.49,264.62,274.04,7638273,
2025-02-20,274.495,277.63,268.71,270.23,3621407,
2025-02-21,269.79,270.44,256.83,258.34,4553680,
2025-02-24,261.795,262.415,251.27,252.88,4303490,
2025-02-25,251.5,253.68,247.5,248.9,2767399,
2025-02-26,251.1,256.58,249.07,253.94,2836748,
2025-02-27,255.8,257.92,248.2822,248.56,2619102,
2025-02-28,249.8,253.77,245.81,250.5,2102497,
2025-03-03,253.01,253.45,240.35,241.74,2063020,
2025-03-04,240.4,246.47,233.72,241.29,2669766,
2025-03-05,240.02,246.79,238.65,244.7,1658925,
2025-03-06,238.97,245.34,237.54,243.16,2688039,
2025-03-07,241.76,245.075,233.78,243.21,2405998,
2025-03-10,238.18,238.8,231.51,233.96,3026267,
2025-03-11,234.0,238.41,230.09,234.25,2646760,
2025-03-12,240.15,244.99,239.14,239.22,2368410,
2025-03-13,240.76,247.2,239.8,241.56,2166518,
2025-03-14,241.68,248.0,241.46,247.43,2271448,
2025-03-17,246.25,258.14,246.25,255.11,2772995,
2025-03-18,252.04,255.99,251.35,253.88,1772712,
2025-03-19,255.0,262.14,254.075,258.7,2736075,
2025-03-20,255.93,259.86,254.88,258.5,1722867,
2025-03-21,254.91,266.95,252.06,262.42,5699876,
2025-03-24,266.0,268.24,264.0,267.15,2526024,
2025-03-25,267.15,269.71,265.97,269.11,1253669,
2025-03-26,269.3,269.3,262.515,263.41,1395545,
2025-03-27,261.98,263.975,258.21,262.54,1349875,
2025-03-28,262.31,263.235,255.87,256.69,1249058,
2025-03-31,253.09,254.97,248.52,254.33,2259511,
