Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB,FFTPeriod
2025-12-17,1.17491,1.17582,1.17037,1.174,,,,,,,
2025-12-18,1.17406,1.17626,1.17131,1.17245,,,,,,,
2025-12-19,1.1726,1.17378,1.17035,1.17097,,,,,,,
2025-12-22,1.17149,1.17693,1.17067,1.17592,,,,,,,
2025-12-23,1.17592,1.18021,1.17592,1.1795,,,,,,,
2025-12-24,1.17947,1.18081,1.17729,1.17756,,,,,,,
2025-12-25,1.17813,1.17848,1.17799,1.17822,,,,,,,
2025-12-26,1.17822,1.17968,1.17619,1.17748,,,,,,,
2025-12-29,1.17709,1.17892,1.17499,1.17682,,,1.17558,,,,
2025-12-30,1.17711,1.17798,1.17435,1.17461,,,1.17558,,,,
2025-12-31,1.17451,1.17592,1.17202,1.17459,,,1.17558,,,,
2026-01-02,1.17487,1.17656,1.17136,1.17176,,,1.17574,,,,
2026-01-05,1.17121,1.17288,1.16593,1.17194,,,1.1733699999999998,,,,
2026-01-06,1.17211,1.1743,1.16841,1.16888,,,1.1733699999999998,,,,
2026-01-07,1.16884,1.17027,1.16733,1.1678,,19.293804656665287,1.1728049999999999,,,,
2026-01-08,1.16778,1.16831,1.16429,1.16588,,17.69553276376297,1.171985,,,,
2026-01-09,1.16589,1.16623,1.16185,1.16348,,15.920213855506503,1.170385,,,,
2026-01-12,1.16325,1.16986,1.16222,1.1669,,27.138139125590357,1.169915,,,,
2026-01-13,1.16684,1.16779,1.16345,1.16448,,24.633626424789185,1.169205,,,,
2026-01-14,1.16449,1.16618,1.16357,1.16448,,24.633626424789185,1.169205,,,,
2026-01-15,1.16453,1.1647,1.15932,1.16088,,21.25015994273437,1.16681,,,,
