fold,n_train,n_test,n_assets,train_end_min,train_end_max,test_start_min,test_start_max,test_end_min,test_end_max,accuracy,balanced_accuracy,f1_macro,confusion_matrix,classification_report,labels
1,4312,980,49,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-06-24 00:00:00,2025-06-24 00:00:00,0.44081632653061226,0.3567091500966845,0.30678028667780344,"[[260, 0, 89], [66, 0, 36], [357, 0, 172]]","{'-1': {'precision': 0.3806734992679356, 'recall': 0.7449856733524355, 'f1-score': 0.5038759689922481, 'support': 349.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 102.0}, '1': {'precision': 0.5791245791245792, 'recall': 0.32514177693761814, 'f1-score': 0.41646489104116224, 'support': 529.0}, 'accuracy': 0.44081632653061226, 'macro avg': {'precision': 0.3199326927975049, 'recall': 0.3567091500966845, 'f1-score': 0.30678028667780344, 'support': 980.0}, 'weighted avg': {'precision': 0.44817546285858356, 'recall': 0.44081632653061226, 'f1-score': 0.4042475923868055, 'support': 980.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
2,5929,980,49,2025-07-07 00:00:00,2025-07-07 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-08-11 00:00:00,2025-08-11 00:00:00,0.5612244897959183,0.3736660997901562,0.36130415026624146,"[[135, 1, 227], [21, 0, 42], [134, 5, 415]]","{'-1': {'precision': 0.46551724137931033, 'recall': 0.371900826446281, 'f1-score': 0.41347626339969373, 'support': 363.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 63.0}, '1': {'precision': 0.6067251461988304, 'recall': 0.7490974729241877, 'f1-score': 0.6704361873990307, 'support': 554.0}, 'accuracy': 0.5612244897959183, 'macro avg': {'precision': 0.3574141291927136, 'recall': 0.3736660997901562, 'f1-score': 0.36130415026624146, 'support': 980.0}, 'weighted avg': {'precision': 0.5154168261375937, 'recall': 0.5612244897959183, 'f1-score': 0.532156664727706, 'support': 980.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
3,7546,980,49,2025-08-21 00:00:00,2025-08-21 00:00:00,2025-08-29 00:00:00,2025-08-29 00:00:00,2025-09-26 00:00:00,2025-09-26 00:00:00,0.45,0.31987610065081956,0.30433353832864657,"[[147, 0, 266], [19, 0, 61], [190, 3, 294]]","{'-1': {'precision': 0.41292134831460675, 'recall': 0.3559322033898305, 'f1-score': 0.3823146944083225, 'support': 413.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 80.0}, '1': {'precision': 0.47342995169082125, 'recall': 0.6036960985626283, 'f1-score': 0.5306859205776173, 'support': 487.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.29545043333514265, 'recall': 0.31987610065081956, 'f1-score': 0.30433353832864657, 'support': 980.0}, 'weighted avg': {'precision': 0.40928255441567607, 'recall': 0.45, 'f1-score': 0.4248367470529968, 'support': 980.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
4,9163,980,49,2025-10-08 00:00:00,2025-10-08 00:00:00,2025-10-16 00:00:00,2025-10-16 00:00:00,2025-11-12 00:00:00,2025-11-12 00:00:00,0.47551020408163264,0.34192238960450877,0.3222626823112344,"[[164, 2, 287], [21, 0, 51], [152, 1, 302]]","{'-1': {'precision': 0.486646884272997, 'recall': 0.3620309050772627, 'f1-score': 0.4151898734177215, 'support': 453.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 72.0}, '1': {'precision': 0.471875, 'recall': 0.6637362637362637, 'f1-score': 0.5515981735159817, 'support': 455.0}, 'accuracy': 0.47551020408163264, 'macro avg': {'precision': 0.31950729475766565, 'recall': 0.34192238960450877, 'f1-score': 0.3222626823112344, 'support': 980.0}, 'weighted avg': {'precision': 0.4440348607914976, 'recall': 0.47551020408163264, 'f1-score': 0.44801855266122403, 'support': 980.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
5,10829,980,49,2025-11-25 00:00:00,2025-11-25 00:00:00,2025-12-04 00:00:00,2025-12-04 00:00:00,2026-01-02 00:00:00,2026-01-02 00:00:00,0.47959183673469385,0.350512146538442,0.33208960759008427,"[[182, 0, 191], [37, 0, 59], [222, 1, 288]]","{'-1': {'precision': 0.4126984126984127, 'recall': 0.4879356568364611, 'f1-score': 0.44717444717444715, 'support': 373.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 96.0}, '1': {'precision': 0.5353159851301115, 'recall': 0.5636007827788649, 'f1-score': 0.5490943755958055, 'support': 511.0}, 'accuracy': 0.47959183673469385, 'macro avg': {'precision': 0.3160047992761747, 'recall': 0.350512146538442, 'f1-score': 0.33208960759008427, 'support': 980.0}, 'weighted avg': {'precision': 0.43620711871223966, 'recall': 0.47959183673469385, 'f1-score': 0.4565135660464545, 'support': 980.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
