Date,Open,High,Low,Close,Volume
2025-07-14,119102.2,123140.0,118961.2,119855.0,2308.79159766
2025-07-15,119855.0,119900.0,115712.2,117741.0,2166.686747
2025-07-16,117741.0,120049.5,117094.0,118712.6,1159.57587636
2025-07-17,118712.6,120999.6,117527.0,119321.0,1135.01654311
2025-07-18,119321.0,120833.7,116929.6,118011.9,1203.98745899
2025-07-19,118011.9,118550.0,117382.5,117909.1,310.77654865
2025-07-20,117909.1,118867.0,116600.0,117319.1,583.194393
2025-07-21,117319.0,119630.4,116623.7,117461.0,1065.22315704
2025-07-22,117461.0,120237.5,116260.0,119977.5,1256.61089025
2025-07-23,119977.5,120100.0,117411.0,118735.3,1088.89687083
2025-07-24,118735.3,119489.8,117316.0,118386.9,946.99617232
2025-07-25,118387.5,118452.0,114733.1,117628.1,1610.09496959
2025-07-26,117628.1,118276.6,117197.6,117937.5,458.69314606
2025-07-27,117937.6,119793.4,117863.8,119455.0,543.22792339
2025-07-28,119455.1,119779.9,117425.9,117979.7,842.48589207
2025-07-29,117979.7,119200.0,117000.0,117923.0,892.9516111
2025-07-30,117916.9,118749.4,115800.0,117820.7,1013.24696846
2025-07-31,117820.7,118918.9,115500.0,115762.3,1086.55871649
2025-08-01,115762.4,116000.0,112688.1,113290.2,1962.106786
2025-08-02,113290.1,114008.2,112000.0,112525.2,897.37152839
2025-08-03,112525.2,114742.9,111897.1,114224.1,584.59505722
2025-08-04,114224.1,115700.0,114137.1,115092.1,916.35580203
2025-08-05,115092.1,115092.1,112629.7,114115.0,839.84002204
2025-08-06,114115.0,115713.6,113400.0,115010.0,745.22602982
2025-08-07,115010.0,117643.3,114280.0,117498.1,968.96659582
2025-08-08,117498.1,117663.0,115946.0,116676.0,639.05095743
2025-08-09,116676.0,117869.4,116282.1,116467.4,698.46357348
2025-08-10,116467.4,119288.4,116467.3,119288.4,1143.03812644
2025-08-11,119288.4,122273.5,118100.0,118724.5,2083.44714105
2025-08-12,118724.5,120303.2,118255.0,120172.0,1114.87548358
2025-08-13,120172.1,123724.7,118918.3,123354.3,2664.42357041
2025-08-14,123354.3,124420.0,117250.0,118383.1,3457.59102418
2025-08-15,118383.1,119312.7,116560.9,117426.7,1280.98937196
2025-08-16,117426.7,117947.4,117284.0,117487.5,325.52589508
2025-08-17,117487.5,118550.2,117295.3,117441.3,441.38200244
2025-08-18,117441.3,117593.3,114715.9,116260.0,1270.68039197
2025-08-19,116259.9,116766.0,112750.0,112830.3,1574.02335208
2025-08-20,112830.4,114612.1,112400.0,114262.7,1251.42753344
2025-08-21,114273.8,114738.6,112036.0,112462.5,767.13809096
2025-08-22,112475.0,117354.0,111676.0,116817.9,1700.58599553
2025-08-23,116817.9,116975.0,114551.1,115344.1,684.74320783
2025-08-24,115344.1,115530.9,110692.2,113456.1,1245.12925903
2025-08-25,113456.1,113619.8,109304.8,110144.9,2518.48438133
2025-08-26,110145.0,112395.6,108734.6,111829.3,1340.09425419
2025-08-27,111829.3,112603.4,110434.3,111268.6,1107.07602036
2025-08-28,111268.6,113457.9,110902.6,112563.7,1322.35665031
2025-08-29,112563.7,112570.0,107505.0,108400.1,1709.81321643
2025-08-30,108400.1,108926.8,107352.6,108750.0,819.57478239
2025-08-31,108750.0,109490.8,108113.5,108250.0,668.71621126
2025-09-01,108250.1,109813.2,107255.0,109263.5,1327.31244841
2025-09-02,109258.5,111737.8,108457.0,111196.9,1796.73871506
2025-09-03,111196.9,112537.6,110600.0,111771.1,1459.83901213
2025-09-04,111771.1,112193.7,109369.8,110744.3,1058.26938089
2025-09-05,110744.4,113372.1,110231.4,110647.8,1534.28592621
2025-09-06,110647.8,111243.0,110036.7,110254.9,278.567386
2025-09-07,110254.9,111526.8,110239.0,111152.8,343.94637098
2025-09-08,111152.8,112864.4,110667.7,112050.1,896.74722811
2025-09-09,112050.1,113200.0,110815.3,111541.0,1503.08477297
2025-09-10,111541.0,114300.0,110934.0,113952.8,2308.60066981
2025-09-11,113952.8,115500.0,113400.0,115500.0,1616.99923963
2025-09-12,115500.0,116743.3,114813.3,116111.7,1729.63497907
2025-09-13,116111.7,116350.8,115251.1,115949.1,764.35719246
2025-09-14,115949.1,116149.9,115238.9,115390.6,527.96758749
