symbol,weight,cluster,vol,risk_contrib_diag
EURUSD=X,0.9319942971052633,0,0.0022178369009187332,0.6728708098033123
BTC-USD,0.040528711141740156,1,0.025145412812317303,0.16356451635252095
ETH-USD,0.027476991752996522,1,0.03708961962010021,0.1635645163567104
