Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-07-14,317.73,322.5986,312.67,316.9,78043430,,,,,
2025-07-15,319.675,321.2,310.5,310.78,77556346,,,,,
2025-07-16,312.8,323.5,312.62,321.67,97284786,,,,,
2025-07-17,323.15,324.34,317.0601,319.41,73922870,,,,,
2025-07-18,321.66,330.9,321.42,329.65,94254993,,,,,
2025-07-21,334.4,338.0,326.88,328.49,75768797,,,,,
2025-07-22,329.74,335.4098,321.55,332.11,77370371,,,,,
2025-07-23,330.9,336.2,328.67,332.56,92553756,,,,,
2025-07-24,310.0,310.15,300.41,305.3,156966023,,319.20500000000004,,,
2025-07-25,308.74,323.63,308.01,316.06,148227027,,319.20500000000004,,,
2025-07-28,318.45,330.49,315.69,325.59,112673755,,319.20500000000004,,,
2025-07-29,325.55,326.25,318.25,321.2,87358861,,319.20500000000004,,,
2025-07-30,322.18,324.4499,311.6164,319.04,83931942,,319.20500000000004,,,
2025-07-31,319.605,321.37,306.1,308.27,85270919,,319.20500000000004,,,
2025-08-01,306.205,309.31,297.82,302.63,89121446,26.42290733613102,317.01,,,
2025-08-04,309.08,312.1186,303.0001,309.26,78683905,31.376084792944084,317.01,,,
2025-08-05,308.95,312.4499,305.5,308.72,57961278,31.191902428865063,314.155,,,
2025-08-06,307.89,320.47,306.9345,319.91,78523579,39.16170133980437,314.155,,,
2025-08-07,319.79,322.4,316.16,322.27,66658672,40.72116085035989,314.155,,,
2025-08-08,321.43,335.15,320.98,329.65,91200319,45.43165897942396,316.485,,,
2025-08-11,335.0,346.64,334.15,339.03,105320174,50.78467632810708,322.23,,,
2025-08-12,345.0,345.26,332.94,340.84,80690111,51.76790480451628,322.23,,,
2025-08-13,341.5,348.98,338.2,339.38,67838892,50.88482220340971,323.4,,,
2025-08-14,335.76,340.4699,330.4,335.58,75000662,48.56283309039281,325.99005,,,
2025-08-15,337.655,339.3,327.02,330.56,74319792,45.602341292278844,327.24,,,
2025-08-18,329.62,336.27,329.59,335.16,56956552,48.68913751377426,327.95725000000004,323.4,,
2025-08-19,335.79,340.55,327.85,329.31,75956002,45.178077777074876,332.57000000000005,323.4,,
2025-08-20,329.22,331.37,314.6,323.9,77481768,42.150892553557576,331.79,323.4,,
2025-08-21,322.08,324.9,318.68,320.11,55744445,40.122616243162184,331.79,323.4,,
2025-08-22,321.66,340.25,319.69,340.01,94016347,52.930061856672516,331.79,323.4,,
2025-08-25,338.9,349.53,335.03,346.6,86670037,56.26612801718714,332.065,323.67499999999995,,
2025-08-26,344.93,351.9,343.72,351.67,76651550,58.69181294887402,333.25,324.86,,
2025-08-27,351.94,355.39,349.156,349.6,65519012,57.294554082193784,334.995,326.605,,
2025-08-28,350.91,353.55,340.26,345.98,67903224,54.83595524866891,334.995,326.605,,
2025-08-29,347.23,348.7499,331.7,333.87,81145660,47.493683750273526,334.995,326.605,,
2025-09-02,328.23,333.33,325.6,329.36,58391952,45.07320883778471,334.995,326.605,,
2025-09-03,335.2,343.33,328.51,334.09,88733288,48.06280483900045,337.03499999999997,326.605,,
2025-09-04,336.15,338.89,331.48,338.53,60711033,50.771448329622686,337.53999999999996,326.605,,
2025-09-05,348.0,355.87,344.6801,350.84,108989785,57.40428144270239,340.735,326.845,,
2025-09-08,354.64,358.44,344.84,346.4,75208290,54.54944052519467,342.02,328.13,,
