run,run_dir,is_portfolio,asset,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_dmd,uses_neural_net,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return
bt_eurusd_sweep_EURUSD=X_mlp_hmm,bt_eurusd_sweep_EURUSD=X_mlp_hmm,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,False,False,True,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_mlp_hmm_fft_dmd,bt_eurusd_sweep_EURUSD=X_mlp_hmm_fft_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,True,True,True,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_mlp_proba_hmm_fft,bt_eurusd_sweep_EURUSD=X_mlp_proba_hmm_fft,False,EURUSD=X,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,True,False,False,False,False,True,True,True,False,True,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_mlp_stops,bt_eurusd_sweep_EURUSD=X_mlp_stops,False,EURUSD=X,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,True,True,False,False,False,False,False,False,True,2025-12-17 00:00:00,2026-01-07 00:00:00,15,0.005260036136943702,0.0955398822598188,-0.0008064168801655835,260.89285714285717,5.19350779988066,0.00035040407760653336,0.0010897815665336073,1.0,1,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_mlp_voltarget,bt_eurusd_sweep_EURUSD=X_mlp_voltarget,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,False,True,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_baseline,bt_eurusd_sweep_EURUSD=X_rf_baseline,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,False,False,False,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,-0.001915234353672024,-0.031326560467,-0.003564915324373308,265.6363636363636,-2.272446311897174,-0.00011944274212602502,0.0008566627774329345,9.0,5,4,1,3,0,0.25,0.3333333333333333,0.000923961398946016,-0.0017246738654541998,0.1785770278955875,-0.0010625150493541458,-0.0012814832114447228
bt_eurusd_sweep_EURUSD=X_rf_dmd,bt_eurusd_sweep_EURUSD=X_rf_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,True,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_fft,bt_eurusd_sweep_EURUSD=X_rf_fft,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,True,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_hmm,bt_eurusd_sweep_EURUSD=X_rf_hmm,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,False,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_hmm_fft_dmd,bt_eurusd_sweep_EURUSD=X_rf_hmm_fft_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,True,True,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_proba_hmm_fft,bt_eurusd_sweep_EURUSD=X_rf_proba_hmm_fft,False,EURUSD=X,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,True,False,False,False,False,True,True,True,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep_EURUSD=X_rf_stops,bt_eurusd_sweep_EURUSD=X_rf_stops,False,EURUSD=X,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,True,True,False,False,False,False,False,False,False,2025-12-17 00:00:00,2026-01-07 00:00:00,15,0.0015862060242926024,0.02795027706062303,-0.0019068820368913775,260.89285714285717,1.9729777612630257,0.00010604557815336667,0.0008681633913577258,9.0,5,4,4,0,0,1.0,inf,0.0017493914272979638,,inf,0.0017493914272979638,0.0017830407953753902
bt_eurusd_sweep_EURUSD=X_rf_voltarget,bt_eurusd_sweep_EURUSD=X_rf_voltarget,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
