fold,train_end,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,confusion_matrix,classification_report,labels
1,2025-10-14 00:00:00,2025-10-22 00:00:00,2025-11-11 00:00:00,67,15,0.4,0.42857142857142855,0.19047619047619047,"[[0, 0, 8], [0, 0, 0], [0, 1, 6]]","{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 8.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 0.42857142857142855, 'recall': 0.8571428571428571, 'f1-score': 0.5714285714285714, 'support': 7.0}, 'accuracy': 0.4, 'macro avg': {'precision': 0.14285714285714285, 'recall': 0.2857142857142857, 'f1-score': 0.19047619047619047, 'support': 15.0}, 'weighted avg': {'precision': 0.2, 'recall': 0.4, 'f1-score': 0.26666666666666666, 'support': 15.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
2,2025-10-30 00:00:00,2025-11-07 00:00:00,2025-11-27 00:00:00,79,15,0.4,0.5,0.2857142857142857,"[[6, 0, 0], [0, 0, 0], [9, 0, 0]]","{'-1': {'precision': 0.4, 'recall': 1.0, 'f1-score': 0.5714285714285714, 'support': 6.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, 'accuracy': 0.4, 'macro avg': {'precision': 0.2, 'recall': 0.5, 'f1-score': 0.2857142857142857, 'support': 15.0}, 'weighted avg': {'precision': 0.16000000000000003, 'recall': 0.4, 'f1-score': 0.22857142857142856, 'support': 15.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
3,2025-11-17 00:00:00,2025-11-25 00:00:00,2025-12-15 00:00:00,91,15,0.2,0.3611111111111111,0.1346153846153846,"[[2, 0, 0], [1, 0, 0], [11, 0, 1]]","{'-1': {'precision': 0.14285714285714285, 'recall': 1.0, 'f1-score': 0.25, 'support': 2.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1.0}, '1': {'precision': 1.0, 'recall': 0.08333333333333333, 'f1-score': 0.15384615384615385, 'support': 12.0}, 'accuracy': 0.2, 'macro avg': {'precision': 0.38095238095238093, 'recall': 0.3611111111111111, 'f1-score': 0.1346153846153846, 'support': 15.0}, 'weighted avg': {'precision': 0.8190476190476191, 'recall': 0.2, 'f1-score': 0.1564102564102564, 'support': 15.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
4,2025-12-04 00:00:00,2025-12-12 00:00:00,2026-01-02 00:00:00,104,15,0.6,0.5,0.375,"[[9, 0, 0], [0, 0, 0], [6, 0, 0]]","{'-1': {'precision': 0.6, 'recall': 1.0, 'f1-score': 0.75, 'support': 9.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.3, 'recall': 0.5, 'f1-score': 0.375, 'support': 15.0}, 'weighted avg': {'precision': 0.36, 'recall': 0.6, 'f1-score': 0.45, 'support': 15.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
