fold,n_train,n_test,n_assets,train_end_min,train_end_max,test_start_min,test_start_max,test_end_min,test_end_max,accuracy,balanced_accuracy,f1_macro,confusion_matrix,classification_report,labels
1,227,45,3,2025-10-01 00:00:00,2025-10-14 00:00:00,2025-10-07 00:00:00,2025-10-22 00:00:00,2025-10-21 00:00:00,2025-11-11 00:00:00,0.5111111111111111,0.5160256410256411,0.46446886446886443,"[[9, 3, 12], [1, 2, 5], [1, 0, 12]]","{'-1': {'precision': 0.8181818181818182, 'recall': 0.375, 'f1-score': 0.5142857142857142, 'support': 24.0}, '0': {'precision': 0.4, 'recall': 0.25, 'f1-score': 0.3076923076923077, 'support': 8.0}, '1': {'precision': 0.41379310344827586, 'recall': 0.9230769230769231, 'f1-score': 0.5714285714285714, 'support': 13.0}, 'accuracy': 0.5111111111111111, 'macro avg': {'precision': 0.5439916405433647, 'recall': 0.5160256410256411, 'f1-score': 0.46446886446886443, 'support': 45.0}, 'weighted avg': {'precision': 0.6270149773598049, 'recall': 0.5111111111111111, 'f1-score': 0.494065934065934, 'support': 45.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
2,289,45,3,2025-10-26 00:00:00,2025-10-30 00:00:00,2025-11-01 00:00:00,2025-11-07 00:00:00,2025-11-15 00:00:00,2025-11-27 00:00:00,0.28888888888888886,0.2261904761904762,0.20144927536231885,"[[7, 1, 20], [3, 0, 0], [8, 0, 6]]","{'-1': {'precision': 0.3888888888888889, 'recall': 0.25, 'f1-score': 0.30434782608695654, 'support': 28.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, '1': {'precision': 0.23076923076923078, 'recall': 0.42857142857142855, 'f1-score': 0.3, 'support': 14.0}, 'accuracy': 0.28888888888888886, 'macro avg': {'precision': 0.20655270655270655, 'recall': 0.2261904761904762, 'f1-score': 0.20144927536231885, 'support': 45.0}, 'weighted avg': {'precision': 0.31377018043684707, 'recall': 0.28888888888888886, 'f1-score': 0.28270531400966187, 'support': 45.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
3,351,45,3,2025-11-17 00:00:00,2025-11-20 00:00:00,2025-11-25 00:00:00,2025-11-26 00:00:00,2025-12-10 00:00:00,2025-12-15 00:00:00,0.26666666666666666,0.3333333333333333,0.14035087719298245,"[[12, 0, 0], [9, 0, 0], [24, 0, 0]]","{'-1': {'precision': 0.26666666666666666, 'recall': 1.0, 'f1-score': 0.42105263157894735, 'support': 12.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 24.0}, 'accuracy': 0.26666666666666666, 'macro avg': {'precision': 0.08888888888888889, 'recall': 0.3333333333333333, 'f1-score': 0.14035087719298245, 'support': 45.0}, 'weighted avg': {'precision': 0.07111111111111111, 'recall': 0.26666666666666666, 'f1-score': 0.11228070175438595, 'support': 45.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
4,414,45,3,2025-12-04 00:00:00,2025-12-15 00:00:00,2025-12-12 00:00:00,2025-12-21 00:00:00,2026-01-02 00:00:00,2026-01-04 00:00:00,0.4444444444444444,0.3614663256606991,0.3011006289308176,"[[14, 0, 3], [5, 0, 0], [17, 0, 6]]","{'-1': {'precision': 0.3888888888888889, 'recall': 0.8235294117647058, 'f1-score': 0.5283018867924528, 'support': 17.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.2608695652173913, 'f1-score': 0.375, 'support': 23.0}, 'accuracy': 0.4444444444444444, 'macro avg': {'precision': 0.35185185185185186, 'recall': 0.3614663256606991, 'f1-score': 0.3011006289308176, 'support': 45.0}, 'weighted avg': {'precision': 0.48765432098765427, 'recall': 0.4444444444444444, 'f1-score': 0.39124737945492666, 'support': 45.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
