time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2024-02-02,open,97.85,100.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-03,open,100.57,97.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-04,open,97.87,95.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-05,open,95.39,95.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-06,open,95.51,96.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-07,open,96.83,101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-08,open,101.1,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-09,open,102.8,106.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-10,open,106.99,109.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-11,open,109.09,107.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-12,open,107.45,111.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-13,open,111.85,112.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-14,open,112.61,117.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-15,open,117.13,113.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-16,open,113.58,110.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-17,open,110.32,108.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-18,open,108.96,112.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-19,open,112.28,111.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-20,open,111.54,108.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-21,open,108.39,105.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-22,open,105.08,101.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-23,open,101.63,99.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-24,open,99.86,104.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-25,open,104.07,103.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-26,open,103.45,109.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-27,open,109.91,108.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-28,open,108.44,118.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-29,open,118.97,125.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-01,open,125.74,129.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-02,open,129.51,130.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-03,open,130.06,130.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-04,open,130.29,133.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-05,open,133.51,125.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-06,open,125.56,130.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-07,open,130.91,144.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-08,open,144.04,145.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-09,open,145.12,144.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-10,open,144.54,144.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-11,open,144.58,148.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-12,open,148.8,151.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-13,open,151.09,163.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-14,open,163.89,176.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-15,open,176.57,183.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-16,open,183.86,181.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-17,open,181.84,201.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-18,open,201.65,195.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-19,open,195.88,169.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-20,open,169.83,191.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-21,open,191.73,179.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-22,open,179.41,175.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-23,open,175.08,172.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-24,open,172.71,183.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-25,open,183.83,189.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-26,open,189.02,190.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-27,open,190.45,186.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-28,open,186.21,189.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-29,open,189.65,192.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-30,open,192.21,194.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-31,open,194.3,202.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-01,open,202.61,192.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
