fold,n_train,n_test,n_assets,train_end_min,train_end_max,test_start_min,test_start_max,test_end_min,test_end_max,accuracy,balanced_accuracy,f1_macro,confusion_matrix,classification_report,labels
1,137,40,2,2025-09-25 00:00:00,2025-10-08 00:00:00,2025-10-01 00:00:00,2025-10-16 00:00:00,2025-10-20 00:00:00,2025-11-12 00:00:00,0.425,0.5082528180354268,0.4194125159642401,"[[6, 3, 14], [0, 3, 5], [0, 1, 8]]","{'-1': {'precision': 1.0, 'recall': 0.2608695652173913, 'f1-score': 0.41379310344827586, 'support': 23.0}, '0': {'precision': 0.42857142857142855, 'recall': 0.375, 'f1-score': 0.4, 'support': 8.0}, '1': {'precision': 0.2962962962962963, 'recall': 0.8888888888888888, 'f1-score': 0.4444444444444444, 'support': 9.0}, 'accuracy': 0.425, 'macro avg': {'precision': 0.5749559082892416, 'recall': 0.5082528180354268, 'f1-score': 0.4194125159642401, 'support': 40.0}, 'weighted avg': {'precision': 0.7273809523809524, 'recall': 0.425, 'f1-score': 0.4179310344827586, 'support': 40.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
2,165,40,2,2025-10-14 00:00:00,2025-10-21 00:00:00,2025-10-20 00:00:00,2025-10-29 00:00:00,2025-11-08 00:00:00,2025-11-25 00:00:00,0.575,0.5379385964912281,0.5243630727501696,"[[10, 2, 7], [0, 2, 3], [2, 3, 11]]","{'-1': {'precision': 0.8333333333333334, 'recall': 0.5263157894736842, 'f1-score': 0.6451612903225806, 'support': 19.0}, '0': {'precision': 0.2857142857142857, 'recall': 0.4, 'f1-score': 0.3333333333333333, 'support': 5.0}, '1': {'precision': 0.5238095238095238, 'recall': 0.6875, 'f1-score': 0.5945945945945946, 'support': 16.0}, 'accuracy': 0.575, 'macro avg': {'precision': 0.5476190476190476, 'recall': 0.5379385964912281, 'f1-score': 0.5243630727501696, 'support': 40.0}, 'weighted avg': {'precision': 0.6410714285714286, 'recall': 0.575, 'f1-score': 0.5859561174077303, 'support': 40.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
3,193,40,2,2025-11-02 00:00:00,2025-11-03 00:00:00,2025-11-08 00:00:00,2025-11-11 00:00:00,2025-11-27 00:00:00,2025-12-08 00:00:00,0.325,0.3917211328976035,0.33639846743295015,"[[4, 1, 13], [2, 3, 0], [5, 6, 6]]","{'-1': {'precision': 0.36363636363636365, 'recall': 0.2222222222222222, 'f1-score': 0.27586206896551724, 'support': 18.0}, '0': {'precision': 0.3, 'recall': 0.6, 'f1-score': 0.4, 'support': 5.0}, '1': {'precision': 0.3157894736842105, 'recall': 0.35294117647058826, 'f1-score': 0.3333333333333333, 'support': 17.0}, 'accuracy': 0.325, 'macro avg': {'precision': 0.32647527910685803, 'recall': 0.3917211328976035, 'f1-score': 0.33639846743295015, 'support': 40.0}, 'weighted avg': {'precision': 0.3353468899521531, 'recall': 0.325, 'f1-score': 0.31580459770114944, 'support': 40.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
4,221,40,2,2025-11-14 00:00:00,2025-11-21 00:00:00,2025-11-24 00:00:00,2025-11-27 00:00:00,2025-12-16 00:00:00,2025-12-19 00:00:00,0.2,0.3333333333333333,0.11347517730496454,"[[8, 0, 0], [7, 0, 0], [24, 1, 0]]","{'-1': {'precision': 0.20512820512820512, 'recall': 1.0, 'f1-score': 0.3404255319148936, 'support': 8.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 25.0}, 'accuracy': 0.2, 'macro avg': {'precision': 0.06837606837606837, 'recall': 0.3333333333333333, 'f1-score': 0.11347517730496454, 'support': 40.0}, 'weighted avg': {'precision': 0.041025641025641026, 'recall': 0.2, 'f1-score': 0.06808510638297872, 'support': 40.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
5,249,40,2,2025-11-27 00:00:00,2025-12-10 00:00:00,2025-12-05 00:00:00,2025-12-16 00:00:00,2026-01-02 00:00:00,2026-01-04 00:00:00,0.525,0.45555555555555555,0.47252747252747246,"[[10, 0, 5], [4, 1, 0], [10, 0, 10]]","{'-1': {'precision': 0.4166666666666667, 'recall': 0.6666666666666666, 'f1-score': 0.5128205128205128, 'support': 15.0}, '0': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.3333333333333333, 'support': 5.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285714, 'support': 20.0}, 'accuracy': 0.525, 'macro avg': {'precision': 0.6944444444444445, 'recall': 0.45555555555555555, 'f1-score': 0.47252747252747246, 'support': 40.0}, 'weighted avg': {'precision': 0.6145833333333333, 'recall': 0.525, 'f1-score': 0.5196886446886446, 'support': 40.0}}","{'-1': 'sell', '0': 'hold', '1': 'buy'}"
